storenum,nickname,address1,address2,address3,city,country,email1,email2,fax1,fax2,zone,field2,field3,phone1,phone2,state,zipcode,firstname,lastname,middlename,latitude,longitude,active,monopen,monclose,tueopen,tueclose,wedopen,wedclose,thuopen,thuclose,friopen,friclose,satopen,satclose,sunopen,sunclose
"1871","TSC_STORE_1871","215 WEST 9TH ST","","","DOUGLAS","US","","","","","42","Y","","520-364-6181","","AZ","85607","","","","31.342779","-109.567139","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"135","TSC_STORE_0135","5387 SCOTTSVILLE RD","","","BOWLING GREEN","US","","","","","51","Y","","270-842-0648","","KY","42104","","","","36.922607","-86.410744","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"406","TSC_STORE_0406","1971 COOPER FOSTER PARK RD","","","AMHERST","US","","","","","71","Y","","440-960-5366","","OH","44001","","","","41.416584","-82.20295","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"456","TSC_STORE_0456","1619 EAST SARAH DEWITT DR","","","GONZALES","US","","","","","13","Y","","830-672-5707","","TX","78629","","","","29.522696","-97.444618","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"2160","TSC_STORE_2160","3747 EAST PALMDALE BLVD","","","PALMDALE","US","","","","","08","Y","","661-575-9575","","CA","93550","","","","34.58223","-118.061752","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1480","TSC_STORE_1480","100 SILER XING","","","SILER CITY","US","","","","","52","Y","","919-663-1380","","NC","27344","","","","35.735348","-79.439278","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1703","TSC_STORE_1703","2700 EAST DUPONT AVE STE 4","","","BELLE","US","","","","","52","Y","","304-949-3162","","WV","25015-1842","","","","38.210312","-81.510262","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"302","TSC_STORE_0302","3620 AIR PARK RD","","","BEATRICE","US","","","","","81","Y","","402-223-2381","","NE","68310","","","","40.3022","-96.748077","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"658","TSC_STORE_0658","154 VESTAL PKWY WEST","","","VESTAL","US","","","","","63","Y","","607-658-9164","","NY","13850","","","","42.086334","-76.056618","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"699","TSC_STORE_0699","104 SHAMROCK DR","","","KEYSER","US","","","","","72","Y","","304-788-7916","","WV","26726","","","","39.41666","-79.001373","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1370","TSC_STORE_1370","2405 SOUTH BRAHMA BLVD","","","KINGSVILLE","US","","","","","14","Y","","361-592-0831","","TX","78363","","","","27.493622","-97.857491","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1114","TSC_STORE_1114","4203 OLD STOCKYARD RD","","","MARSHALL","US","","","","","53","Y","","540-364-1583","","VA","20115","","","","38.864468","-77.848442","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"567","TSC_STORE_0567","6945 HWY 98 NORTH","","","LAKELAND","US","","","","","02","Y","","863-815-2010","","FL","33809","","","","28.131071","-81.97213","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"2187","TSC_STORE_2187","2605 WEST MAIN ST","","","SHELBYVILLE","US","","","","","71","Y","","217-774-2200","","IL","62565","","","","39.406914","-88.826317","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1673","TSC_STORE_1673","3004 SOUTH HORNER BLVD","","","SANFORD","US","","","","","52","Y","","919-708-9057","","NC","27332-9644","","","","35.450687","-79.138252","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"241","TSC_STORE_0241","18201 NORTH DIXIE HWY","","","BOWLING GREEN","US","","","","","71","Y","","419-354-3991","","OH","43402-9322","","","","41.417896","-83.651527","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"2107","TSC_STORE_2107","925 NORTH MARKET ST","","","HEARNE","US","","","","","14","Y","","979-279-9777","","TX","77859","","","","30.891031","-96.600548","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"797","TSC_STORE_0797","1390 EAST MAIN ST","","","WOODLAND","US","","","","","08","Y","","530-662-7780","","CA","95776","","","","38.676327","-121.756844","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"405","TSC_STORE_0405","3639 SOUTH HWY 27","","","SOMERSET","US","","","","","53","Y","","606-677-2777","","KY","42501-3022","","","","37.04327","-84.627228","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"117","TSC_STORE_0117","356 FREY ST","","","ASHLAND CITY","US","","","","","53","Y","","615-792-1903","","TN","37015","","","","36.297604","-87.046982","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"639","TSC_STORE_0639","4572 WEST US 10","","","LUDINGTON","US","","","","","72","Y","","231-843-1932","","MI","49431","","","","43.958252","-86.394241","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1649","TSC_STORE_1649","708A EAST COLLIN RAYE DR","","","DE QUEEN","US","","","","","14","Y","","870-642-2147","","AR","71832","","","","34.044292","-94.330643","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1292","TSC_STORE_1292","1104 WEST INTERSTATE 20","","","BIG SPRING","US","","","","","41","Y","","432-264-6162","","TX","79720","","","","32.263123","-101.49736","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"186","TSC_STORE_0186","2630 NORTH MAIN ST","","","MIAMI","US","","","","","51","Y","","918-542-2637","","OK","74354","","","","36.907967","-94.876518","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1837","TSC_STORE_1837","600 SCRANTON CARBONDALE HWY STE 100","","","EYNON","US","","","","","72","Y","","570-876-3030","","PA","18403","","","","41.50523","-75.578056","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1250","TSC_STORE_1250","1520 TALLAHASSEE HWY","","","BAINBRIDGE","US","","","","","02","Y","","229-246-9190","","GA","39819","","","","30.88201","-84.566177","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1984","TSC_STORE_1984","1494 SOUTHWEST 4TH AVE","","","ONTARIO","US","","","","","81","Y","","541-889-5768","","OR","97914","","","","44.023769","-116.98452","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"2075","TSC_STORE_2075","200 HUCK FINN SHOPPING CTR","","","HANNIBAL","US","","","","","51","Y","","573-231-0500","","MO","63401","","","","39.72324","-91.394058","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"2190","TSC_STORE_2190","5428 NORTH GARFIELD AVE","","","LOVELAND","US","","","","","81","Y","","970-663-2722","","CO","80538-1825","","","","40.449223","-105.076607","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"2054","TSC_STORE_2054","920 HWY 2 NORTH","","","WILBURTON","US","","","","","14","Y","","918-465-5695","","OK","74578-3605","","","","34.920525","-95.322487","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1184","TSC_STORE_1184","15 PLAZA PKWY","","","LEXINGTON","US","","","","","22","Y","","336-243-5980","","NC","27292","","","","35.784466","-80.257866","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"2200","TSC_STORE_2200","900 EAST NEVADA HWY 372","","","PAHRUMP","US","","","","","42","Y","","775-727-1500","","NV","89048-4623","","","","36.205803","-115.998116","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"2344","TSC_STORE_2344","800 N COLONY RD","","","WALLINGFORD","US","","","","","62","Y","","973-728-2020","","CT","06492","","","","41.47514","-72.811638","0","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1609","TSC_STORE_1609","2800 RIVERSIDE AVE UNIT 103","","","PASO ROBLES","US","","","","","07","Y","","805-226-9040","","CA","93446-1301","","","","35.643787","-120.687881","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1798","TSC_STORE_1798","19610 FISHER AVE","","","POOLESVILLE","US","","","","","53","Y","","301-407-0307","","MD","20837-2070","","","","39.144184","-77.409966","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"479","TSC_STORE_0479","1640 WEST COLLEGE ST","","","PULASKI","US","","","","","52","Y","","931-424-9199","","TN","38478","","","","35.206135","-87.060371","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"713","TSC_STORE_0713","677 WEST CHURCH ST","","","LEXINGTON","US","","","","","52","Y","","731-968-6944","","TN","38351","","","","35.657333","-88.415398","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1475","TSC_STORE_1475","1465 ARMORY DR","","","FRANKLIN","US","","","","","52","Y","","757-562-4242","","VA","23851","","","","36.665756","-76.952576","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1249","TSC_STORE_1249","201 MANE ST","","","WEST MONROE","US","","","","","14","Y","","318-329-1123","","LA","71292","","","","32.507351","-92.173271","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"280","TSC_STORE_0280","2019 UPPER LENOX AVE","","","ONEIDA","US","","","","","62","Y","","315-363-0860","","NY","13421","","","","43.075565","-75.690933","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"2298","TSC_STORE_2298","181 GRIMSHAW ST","","","RAYVILLE","US","","","","","14","Y","","318-728-3737","","LA","71269-5522","","","","32.458542","-91.763199","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1766","TSC_STORE_1766","294 EAST CHURCH ST","","","JASPER","US","","","","","22","Y","","706-301-1002","","GA","30143-1302","","","","34.466656","-84.425308","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"322","TSC_STORE_0322","775 RTE 23","","","SUSSEX","US","","","","","73","Y","","973-875-7087","","NJ","07461","","","","41.225689","-74.614449","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"2260","TSC_STORE_2260","600-B WEST LIBERTY ST","","","WAUCONDA","US","","","","","72","Y","","847-487-9848","","IL","60084-3405","","","","42.2565","-88.155602","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1695","TSC_STORE_1695","7645 RICHMOND HWY","","","APPOMATTOX","US","","","","","52","Y","","434-352-5206","","VA","24522","","","","37.365341","-78.847298","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"585","TSC_STORE_0585","2201 SOUTHEAST 6TH AVE STE 22","","","ABERDEEN","US","","","","","81","Y","","605-225-5888","","SD","57401","","","","45.459812","-98.457146","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1928","TSC_STORE_1928","1501 EAST WASHINGTON RD","","","ITHACA","US","","","","","71","Y","","989-875-4229","","MI","48847","","","","43.292381","-84.578011","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1924","TSC_STORE_1924","1050 NORTHWEST MARYLAND AVE STE B","","","CHEHALIS","US","","","","","92","Y","","360-748-4327","","WA","98532-1847","","","","46.670753","-122.978157","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"449","TSC_STORE_0449","12985 STONECREEK DR","","","PICKERINGTON","US","","","","","73","Y","","614-501-7044","","OH","43147","","","","39.923283","-82.782974","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1613","TSC_STORE_1613","507 BOONES CREEK RD","","","JONESBOROUGH","US","","","","","52","Y","","423-753-3232","","TN","37659","","","","36.301502","-82.468086","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"553","TSC_STORE_0553","1785 BATTLEFIELD PKWY","","","FORT OGLETHORPE","US","","","","","23","Y","","706-861-4536","","GA","30742","","","","34.950863","-85.234993","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1295","TSC_STORE_1295","142 MCKINLEY RD","","","BEAVER FALLS","US","","","","","71","Y","","724-843-1096","","PA","15010","","","","40.781925","-80.387848","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
"1600","TSC_STORE_1600","15555 INTERSTATE HWY 35","","","BUDA","US","","","","","13","Y","","512-295-5169","","TX","78610-3614","","","","30.082428","-97.821159","1","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","8:00 AM","9:00 PM","9:00 AM","7:00 PM"
